gene	log2FC	p	padj	n
A1BG	-0.166100087007546	0.718522128129025	0.961573255859918	12
A2M	-0.176271625723194	0.673164023216627	0.952774103197234	12
A4GALT	-0.111704512432517	0.20937417111286	0.905994515401443	12
AAAS	-0.041726236280054	0.615047280843143	0.949806308078425	12
AACS	-0.126741619974861	0.0877385044621958	0.843083960518128	12
AADAT	0.057314690874434	0.566913385887739	0.945264835526615	12
AAED1	0.11209446184168	0.271904082809129	0.913790910495063	12
AAGAB	0.0437205457030337	0.392637763825562	0.923966641877276	12
AAK1	0.0673508633253325	0.367575220608761	0.923723668450829	12
AAMDC	-0.0596866210353286	0.558111208655652	0.945264835526615	12
AAMP	-0.072196525232806	0.427415704864227	0.931174362355899	12
AAR2	-0.0224385904082214	0.759705894729056	0.966999293991965	12
AARS	-0.0480959931548579	0.33856628966535	0.920065355159794	12
AARS2	-0.0291337241584566	0.730349974379781	0.963579487697933	12
AASDH	-0.0555373693549402	0.538298854284888	0.941731272426651	12
AASDHPPT	0.136202002713401	0.0553881848785766	0.797893201418258	12
AASS	0.145455501764614	0.205562360635807	0.905994515401443	12
AATF	-0.103854446041837	0.214168586799787	0.905994515401443	12
AATK	-0.310797547939916	0.236585451825949	0.909531894357936	12
ABAT	0.103552732201628	0.454810915000892	0.932617280011103	12
ABCA1	0.447996639965174	0.179659903530562	0.90267263080192	12
ABCA13	0.0599744066575785	0.74822649363817	0.965247670763021	12
ABCA2	-0.135079838984462	0.147856471105625	0.883296665796862	12
ABCA3	-0.0837308462047711	0.331488572840871	0.920065355159794	12
ABCA4	0.0211128365418853	0.949475223690349	0.990867432093713	12
ABCA5	0.15575633668929	0.381964817486437	0.923966641877276	12
ABCA7	0.0412738775168092	0.745977464532358	0.965247670763021	12
ABCA8	0.160527417153428	0.223038817623375	0.905994515401443	12
ABCB1	-0.00846933109503814	0.934526286252618	0.989885987650565	12
ABCB10	0.0427861866666745	0.671264523982813	0.952774103197234	12
ABCB4	-0.237480158386298	0.185248805201014	0.903197575322248	12
ABCB5	0.16885391127674	0.659750257146908	0.95191837657234	12
ABCB6	-0.0997742742730881	0.155041311147243	0.885032331995209	12
ABCB7	-0.046174069676996	0.583556895050918	0.945979021955644	12
ABCB8	-0.141140622598317	0.036780053574371	0.723104270723258	12
ABCB9	-0.0979493254163238	0.459191380165615	0.932675051262044	12
ABCC1	0.00755979483790549	0.930041769135701	0.989583338064636	12
ABCC10	-0.086788522493925	0.287023970623419	0.914212316353145	12
ABCC2	0.151345763738361	0.490673309047631	0.934600726287163	12
ABCC3	-0.076702237111342	0.308800391809967	0.914321442283517	12
ABCC4	0.0267134419338294	0.838543398647846	0.976298903306773	12
ABCC5	-0.0594084762659945	0.601143170870487	0.947719501441097	12
ABCC9	0.23044737646975	0.502497697523893	0.935552120797633	12
ABCD1	-0.1124961298029	0.153818413599322	0.885032331995209	12
ABCD3	0.128031596149755	0.0312587803870032	0.702816647064911	12
ABCD4	-0.0912204249850656	0.381265616059023	0.923966641877276	12
ABCE1	0.110336572554409	0.0871659405347142	0.84267640106153	12
ABCF1	-0.0804812713789757	0.0537968065116778	0.794649845882248	12
ABCF2	-0.0268088026583182	0.541338097917681	0.941731272426651	12
ABCF3	-0.0786973296937924	0.307609075878234	0.914321442283517	12
ABCG2	-0.340934475511215	0.2108321470087	0.905994515401443	12
ABHD10	0.134181658964261	0.0323383482662478	0.707090405752656	12
ABHD11	-0.0432529203946668	0.716673354370529	0.961573255859918	12
ABHD12	-0.0275577324027342	0.731440834865608	0.963654805993994	12
ABHD13	0.120766418235809	0.110793777457143	0.86713939144066	12
ABHD14A	-0.0999751303882175	0.415284418880964	0.92753804187868	12
ABHD14B	-0.0944038341659343	0.213650066089774	0.905994515401443	12
ABHD15	0.0637235590635471	0.464089893251403	0.932675051262044	12
ABHD16A	-0.0260796327133063	0.761834000266425	0.967528563621459	12
ABHD17A	-0.0863925637770099	0.320439701698976	0.917138954708258	12
ABHD17B	0.0356188249804073	0.715530314044912	0.961124333819838	12
ABHD17C	0.0383471220355708	0.697075495120658	0.958758281772818	12
ABHD18	0.271156904322933	0.0266210199282403	0.684549738581776	12
ABHD2	0.0601283916904274	0.654583155075278	0.951690499723663	12
ABHD3	0.0535325413260257	0.495097567690824	0.934674389108643	12
ABHD4	-0.0442043066989231	0.402083649481662	0.926010601403886	12
ABHD5	0.0488932037847641	0.460903100856116	0.932675051262044	12
ABHD6	-0.0680355941733821	0.457592127511162	0.932675051262044	12
ABHD8	-0.0984105572229774	0.296243948991257	0.914212316353145	12
ABI1	0.062833550646011	0.323302559006605	0.918347625199354	12
ABI2	0.0750521124983031	0.261086948136287	0.912411198058034	12
ABI3BP	0.126333113086988	0.410989431939251	0.92739572236704	12
ABL1	-0.0843216808440946	0.34788889026281	0.920065355159794	12
ABL2	0.0481416973482287	0.752769192453341	0.966301227335473	12
ABLIM1	-0.00734125402738175	0.95808854765198	0.99287841166725	12
ABLIM2	-0.0166060699071843	0.939071773687103	0.990270474862087	12
ABLIM3	0.0211917252722728	0.516913447047954	0.93899561275103	12
ABR	-0.104898916278432	0.0886939284462071	0.843083960518128	12
ABRACL	0.131730642999374	0.276239836620187	0.913790910495063	12
ABRAXAS1	0.169208756474459	0.0328888662101685	0.710562595426631	12
ABRAXAS2	0.0285908384173738	0.675305082791257	0.952774103197234	12
ABT1	-0.00677885994252496	0.945054949908918	0.990867432093713	12
ABTB1	-0.0996949173040623	0.369781690059834	0.923966641877276	12
ABTB2	0.0129843071507941	0.875061017712891	0.984111799827609	12
ACAA1	-0.137950570859511	0.0938435866982984	0.848322748271825	12
ACAA2	-0.0175479790876938	0.834245420091483	0.975612587099917	12
ACACA	-0.0234301530196426	0.858345150824144	0.981045884639301	12
ACACB	-0.0662378265098862	0.662983238384838	0.952027155150532	12
ACAD10	0.00550478917219611	0.950886111641845	0.991150906321417	12
ACAD11	0.0462713654983827	0.494046072430796	0.934600726287163	12
ACAD8	-0.120886617707642	0.0991076727077696	0.858473419458752	12
ACAD9	-0.0613925796321722	0.364276878065218	0.921514045517798	12
